id,model,completion,task,source,language
0,meta-llama/Llama-3.2-1B-Instruct,"열기구는 전자적 또는 기계적 기구로, 주로 전자적 기구는 전자 전류를 전달하는 데 사용됩니다. 열기구는 전류를 전달하는 데 사용되는 전자 전류를 전달하는 데 사용되는 전자 전류를 전달하는 데 사용되는 전자 전류를 전달하는 데 사용되는 전자 전류를 전달하는 데 사용되는 전자 전류를 전달하는",monolingual,native,ko
1,meta-llama/Llama-3.2-1B-Instruct,1.  **대화의 중요성**: 상처를 가시한 말로 대화하는 것은 대화의 중요성과 상처를 가시한 말로 대화하는 것이 중요합니다. 상처를 가시한 말로 대화하는 것은 대화의 중요성과 상처를 가시한 말로 대화하는 것이 중요합니다. 상처를 가시한 말로 대화하는 것은 대화의 중요성과 상처를 가시한,monolingual,native,ko
2,meta-llama/Llama-3.2-1B-Instruct,"돼지엄마, 돼지맘은 자녀 교육에 투자를 아끼지 않으며, 자녀를 명문대에 보내기 위해 자녀 교육에 투자를 아끼지 않으며, 물불을 가리지 않는 엄마들의 대표를 뜻하는 은어입니다.

그녀는 자녀를 야구선수로 키우고, 방과후와 주말에는 야구 과외를 시키고, 집에서 자랑하고, 식사",monolingual,native,ko
3,meta-llama/Llama-3.2-1B-Instruct,"콘크리트는 뭘로 만든 thingy... 

콘크리트는 건축물, 건설, 공학, 과학 등 다양한 lĩnh vực에서 사용되는 강한, 강력한 재료로, 특히 건축물 건설에서 사용되는 재료 중 하나입니다. 

콘크리트는 주로 마스카 (Masonry) 또는 마스카를 의미하며, 마스카는 마스카의 약자로, 마",monolingual,native,ko
4,meta-llama/Llama-3.2-1B-Instruct,"인구 감소는 경제에 미치는 영향은 다양한方面에서 다르지만, 다음과 같은 영향을 미칠 수 있습니다.

1. **employment**: 인구 감소는 일자리 수요에 영향을 미치며, 일자리 수요가 감소할 수 있습니다. 일자리 수요는 일자리 수요의 1/3가 인구 감소에 따라 감소할 수 있습니다.
2. **생산성**: 인구 감소는",monolingual,native,ko
5,meta-llama/Llama-3.2-1B-Instruct,"자바와 파이썬은 두 가지 주요 장점과 단점으로 간주할 수 있습니다.

**장점**

1.  **고정성**: 자바는 자바 언어의 고정성이 높고, 자바 언어의 구현은 자바 언어의 구현에 대한 강한 제약을 가지고 있습니다. 따라서 자바 언어의 구현은 자바 언어의 구현에 대한 강한 제약을 가지고 있습니다.
2.",monolingual,native,ko
6,meta-llama/Llama-3.2-1B-Instruct,"다음은 7문장 요약입니다.

우리는 세계적인 경쟁력을 갖추고 있는 중동 국가들에 의해 평가를 받고 있으며, 2018년 UNIDO가 지표를 기준으로 세계 제조업 경쟁력 지수를 3위로 올랐다. 1990년 17위에서 수직 상승했다. 조선·디스플레이 1위, 석유화학 4위, 자동차·가공 공",monolingual,native,ko
7,meta-llama/Llama-3.2-1B-Instruct,"슈필데스야레스 (Sulpitze)는 아르메니아의 고대 고대 도시입니다. 이 도시가 처음에 알려진 것은 1960년대에 시작되었으며, 1968년부터 1970년까지 아르메니아의 수도였습니다. 1970년대 후반에 아르메니아가 독립하여, 슈필데스야레스는 아르메니아의 수도로 승진했습니다. 

슈필",monolingual,native,ko
8,meta-llama/Llama-3.2-1B-Instruct,"1.  **Environment 오염과 its Effects**: 환경 오염은 우리가 지구와 생태계에 미치는 영향을 크게 ảnh hưởng하는 문제입니다. 오염은 다양한 요인들이 동시에 발생하고, 오염물질이 지구와 생태계에 미치는 영향을 크게 ảnh hưởng하는 문제입니다. 오염물질은 지구와 생태계에 미치는 영향을 크게 ảnh hưởng하는 요인 중 하나입니다. 오염물질",monolingual,native,ko
9,meta-llama/Llama-3.2-1B-Instruct,"저희 서울아산병원에서 제공한 산모를 위한 식사 요법은 다음과 같습니다.

저희 산모는 임신 중에는 하루에 2,000-2,200칼로리 정도 섭취하는 것이 적당합니다. 임신 후 수유를 하지 않는 경우, 수유를 하지 않는 산모의 경우는 별도의 열량 및 단백질을 보충할 필요는 없습니다. 

저희 산모는 매일 다양한",monolingual,native,ko
10,meta-llama/Llama-3.2-1B-Instruct,"타경쟁사와 비교해서 비용이 비슷하고 수익이 비슷하다면, 가격 경쟁면에서 이기기 위해 우리 회사가 할 수 있는 독창적인 가격 차별화 전략은 **""고객의 가치""를 강조하는 가격 전략""**입니다.

**고객의 가치**는 customers의 가치관에 따라 가격을 결정하는 요소입니다. customers가 가치관에 따라 가격을 결정",monolingual,native,ko
11,meta-llama/Llama-3.2-1B-Instruct,"**제목 : 고양이용 장난감 - ""고양이의 호기심을 자극하고자 자율주행 기술을 활용한 고양이 장난감""**

**제목사정 :**

*   고양이용 장난감은 고양이의 사냥 본능을 자극하고자 자율주행 기술을 활용하여 고양이의 호기심을 자극하는 다양한 움직임 패턴을 제공한다.
*",monolingual,native,ko
12,meta-llama/Llama-3.2-1B-Instruct,"기사의 주요 사상을 개관해 보다:

1.  메타(Meta)가 AI(인공지능) 이미지 정책을 내놨다. 메타는 자사의 뉴스 블로그에 이용자들이 AI로 생성된 이미지를 식별할 수 있게 하는 정책을 시행하겠다고 밝혔다. 이 política는 페이스북과 인스타그램, 스레드에서 AI 생성 이미지에 꼬리표(label)를 붙일 것",monolingual,native,ko
13,meta-llama/Llama-3.2-1B-Instruct,"**초등학생을 대상으로 불의 원리에 대한 재미있는 수업 계획**

**제목:** 불의 원리에 대한 재미있는 수업

**목적:** 초등학생을 위한 불의 원리에 대한 재미있는 수업을 구상하여, 불의 개념과 관련된 다양한 chủ đề를 다루어야 할 수 있는 수업을 plan합니다.

**수업 목표:**

* 불의 개념을 이해하고, 불의",monolingual,native,ko
14,meta-llama/Llama-3.2-1B-Instruct,"다음 기사에 따르면, 주류 수요가 늘어나는 연말을 목전에 두고 하이트진로가 제품 출고가를 인상하겠다고 예고한 뒤 소비자들 사이에서 우려가 커지고 있다. 식당가에서 1000원 인상이 이뤄질 때, 소비자들은 모든 부담이 전가되는 유통 구조를 지적한다. 2일 하이트진로",monolingual,native,ko
